,Governor ID,Name,Date,Ranking,KVK Contrib,Kills Contrib,Deads Contrib,RSS Contrib,Power,PreKVK Power,Total Kills,Power / KVK Contrib
1241,96272103,Bully Maguire4,2021-12-09,988,0.0,0,0,0.0,15026169.0,15026169.0,0,inf
1240,96429615,Slayer X Teavis,2021-12-09,1056,0.0,0,0,0.0,15155802.0,15155802.0,0,inf
1238,96261631,M3llow Rëën,2021-12-09,973,0.0,0,0,0.0,15398709.0,15398709.0,0,inf
1236,95676492,pirate snowman,2021-12-09,1213,0.0,0,0,0.0,15589610.0,15589610.0,0,inf
1235,97125698,THOR 27PH,2021-12-09,924,0.0,0,0,0.0,15774470.0,15774470.0,0,inf
1234,96617124,ÁltairSTARS,2021-12-09,1017,0.0,0,0,0.0,15831019.0,15831019.0,0,inf
1233,90935992,Paperkylla,2021-12-09,1183,0.0,0,0,0.0,15853170.0,15853170.0,0,inf
1232,96285664,LITE MAN,2021-12-09,1040,0.0,0,0,0.0,15871175.0,15871175.0,0,inf
1231,96104411,Dr AnderStrange,2021-12-09,952,0.0,0,0,0.0,15928928.0,15928928.0,0,inf
1230,96212776,Killer Riaz,2021-12-09,1041,0.0,0,0,0.0,16135532.0,16135532.0,0,inf
1229,96239377,Small Bürgerm,2021-12-09,996,0.0,0,0,0.0,16278227.0,16278227.0,0,inf
1228,96427511,乄Pirate Val,2021-12-09,1055,0.0,0,0,0.0,16344995.0,16344995.0,0,inf
1227,74504631,BFLO,2021-12-09,1093,0.0,0,0,0.0,16359915.0,16359915.0,0,inf
1226,96265209,økills,2021-12-09,985,0.0,0,0,0.0,16402880.0,16402880.0,0,inf
1225,96240941,Mr TomaHawk,2021-12-09,997,0.0,0,0,0.0,16467010.0,16467010.0,0,inf
1224,96214090,Midlánèr,2021-12-09,1027,0.0,0,0,0.0,16474125.0,16474125.0,0,inf
1223,96365102,dik fury,2021-12-09,1051,0.0,0,0,0.0,16486441.0,16486441.0,0,inf
1222,96054558,M3llow FatChub,2021-12-09,934,0.0,0,0,0.0,16578512.0,16578512.0,0,inf
1221,99203747,Will Tuga III,2021-12-09,946,0.0,0,0,0.0,16610421.0,16610421.0,0,inf
1220,96248420,Steelrone,2021-12-09,1004,0.0,0,0,0.0,16621218.0,16621218.0,0,inf
1219,96234544,ᵉᵐᶦ,2021-12-09,1000,0.0,0,0,0.0,16652478.0,16652478.0,0,inf
1218,96581509,M3llow 7empest,2021-12-09,971,0.0,0,0,0.0,16710463.0,16710463.0,0,inf
1217,96583489,Pirate Kyozelia,2021-12-09,1020,0.0,0,0,0.0,16745519.0,16745519.0,0,inf
1216,96200949,IronMan z4,2021-12-09,1024,0.0,0,0,0.0,16762456.0,16762456.0,0,inf
1215,77415864,KangBakso471,2021-12-09,1242,0.0,0,0,0.0,16773997.0,16773997.0,0,inf
1214,96130927,Mr Pëppër,2021-12-09,953,0.0,0,0,0.0,16806258.0,16806258.0,0,inf
1213,96246383,Under Boss Para,2021-12-09,1003,0.0,0,0,0.0,16829666.0,16829666.0,0,inf
1212,97086973,SwordsManZoro,2021-12-09,923,0.0,0,0,0.0,16869833.0,16869833.0,0,inf
1211,90945690,Kreeholio,2021-12-09,1182,0.0,0,0,0.0,16874998.0,16874998.0,0,inf
1210,96161791,Aşhu Maşhu,2021-12-09,931,0.0,0,0,0.0,16917749.0,16917749.0,0,inf
1209,97287877,Jarvis Ztech,2022-01-03,542,3621617.0,1120209,2176908,324500.0,16949482.0,16949482.0,710197,4.680086823095872
1208,96254604,GangsofWasepur,2021-12-09,1012,0.0,0,0,0.0,17190586.0,17190586.0,0,inf
1207,96595307,Davy Chajones,2021-12-09,1022,0.0,0,0,0.0,17259296.0,17259296.0,0,inf
1206,96258521,MexiSpideyJay,2021-12-09,977,0.0,0,0,0.0,17265419.0,17265419.0,0,inf
1204,96201419,M3llow IFF,2021-12-09,1023,0.0,0,0,0.0,17314375.0,17314375.0,0,inf
1203,98398193,BLACKVAGOAL,2021-12-09,944,0.0,0,0,0.0,17344426.0,17344426.0,0,inf
1202,96176549,Mr neGspoD,2021-12-09,915,0.0,0,0,0.0,17411828.0,17411828.0,0,inf
1201,97201220,Trooper Luffy,2021-12-09,968,0.0,0,0,0.0,17436561.0,17436561.0,0,inf
1200,96195946,M3llow Touch,2021-12-09,972,0.0,0,0,0.0,17459623.0,17459623.0,0,inf
1199,98020847,DE4DPO0L,2021-12-09,938,0.0,0,0,0.0,17470553.0,17470553.0,0,inf
1197,96214479,Slàyer X Uchí,2021-12-09,1014,0.0,0,0,0.0,17664241.0,17664241.0,0,inf
1196,95676117,Jounin Lima0128,2021-12-09,1216,0.0,0,0,0.0,17697983.0,17697983.0,0,inf
1195,96128033,Pirate Cyclöne,2021-12-09,961,0.0,0,0,0.0,17740087.0,17740087.0,0,inf
1194,95698763,Jounin Storm,2021-12-09,1087,0.0,0,0,0.0,17781693.0,17781693.0,0,inf
1193,96008726,KannaK0bayashi,2021-12-09,940,0.0,0,0,0.0,17835937.0,17835937.0,0,inf
1192,80309379,PirateDickHead,2021-12-09,1253,0.0,0,0,0.0,17851996.0,17851996.0,0,inf
1191,86732270,JUANJO1,2021-12-09,1195,0.0,0,0,0.0,17935883.0,17935883.0,0,inf
1190,96337662,Slayer X Snakę,2021-12-09,1050,0.0,0,0,0.0,17980913.0,17980913.0,0,inf
1189,84721426,Slayer X Yan,2021-12-09,1240,0.0,0,0,0.0,18027462.0,18027462.0,0,inf
1188,96148458,Nāyeon,2021-12-09,955,0.0,0,0,0.0,18169818.0,18169818.0,0,inf
1187,55157892,4Zinc,2021-12-09,1134,0.0,0,0,0.0,18169899.0,18169899.0,0,inf
1186,96204359,M3llow W44RD,2021-12-09,1019,0.0,0,0,0.0,18191864.0,18191864.0,0,inf
1185,96195262,TINApie,2021-12-09,916,0.0,0,0,0.0,18243499.0,18243499.0,0,inf
1184,96399935,M3llow Frîja,2021-12-09,1053,0.0,0,0,0.0,18246566.0,18246566.0,0,inf
1183,80104536,Millzz,2021-12-09,1252,0.0,0,0,0.0,18372473.0,18372473.0,0,inf
1182,96312657,M3llow Fast,2021-12-09,1048,0.0,0,0,0.0,18447612.0,18447612.0,0,inf
1181,96167374,Boss Paperkylla,2021-12-09,919,0.0,0,0,0.0,18499823.0,18499823.0,0,inf
1180,97101811,Q U E E N I E E,2021-12-09,926,0.0,0,0,0.0,18519660.0,18519660.0,0,inf
1179,96240225,Mr Trandom,2021-12-09,1018,0.0,0,0,0.0,18527617.0,18527617.0,0,inf
1178,95678322,Mr DrAkEnN,2021-12-09,1207,0.0,0,0,0.0,18552634.0,18552634.0,0,inf
1177,96603070,Pirate beaver,2021-12-09,1025,0.0,0,0,0.0,18553618.0,18553618.0,0,inf
1176,96260831,Pirate SOMALIA,2021-12-09,980,0.0,0,0,0.0,18680493.0,18680493.0,0,inf
1175,96265202,Cotton95,2021-12-09,984,0.0,0,0,0.0,18698829.0,18698829.0,0,inf
1174,95682056,Trooper Shinyai,2021-12-09,1201,0.0,0,0,0.0,18782442.0,18782442.0,0,inf
1173,96650925,SlayerXSkipper,2021-12-09,1030,0.0,0,0,0.0,18806865.0,18806865.0,0,inf
1172,95678108,Killer BKBL4Z3,2021-12-09,1208,0.0,0,0,0.0,18840274.0,18840274.0,0,inf
1171,96267065,Jounin Necro99,2021-12-09,987,0.0,0,0,0.0,18886184.0,18886184.0,0,inf
1170,91324773,DZ  亗  HUNTER,2021-12-09,1180,0.0,0,0,0.0,19004072.0,19004072.0,0,inf
1169,96700452,Pirate Ryōta,2021-12-09,1031,0.0,0,0,0.0,19024646.0,19024646.0,0,inf
1167,95473038,Dark PİRATE メ,2021-12-09,1223,0.0,0,0,0.0,19063416.0,19063416.0,0,inf
1166,96482453,KAITx Kz,2021-12-09,1039,0.0,0,0,0.0,19091459.0,19091459.0,0,inf
1165,97223990,WraithShot,2021-12-09,962,0.0,0,0,0.0,19128995.0,19128995.0,0,inf
1164,96298101,Small Murloc,2021-12-09,1045,0.0,0,0,0.0,19207972.0,19207972.0,0,inf
1163,95370607,Slayer X RexRie,2021-12-09,1196,0.0,0,0,0.0,19234997.0,19234997.0,0,inf
1162,96245923,m3llow mannkalo,2021-12-09,1002,0.0,0,0,0.0,19270020.0,19270020.0,0,inf
1161,59373607,ᵈᶦʳᵗʸZA,2021-12-09,1167,0.0,0,0,0.0,19286808.0,19286808.0,0,inf
1168,80699071,M3llow Gypsy,2022-01-03,623,2404674.28,946218,1458456,0.28,19330298.0,19043446.0,731848,8.03863465450298
1160,74522049,Master Tèo,2021-12-09,1092,0.0,0,0,0.0,19346863.0,19346863.0,0,inf
1159,97123715,Mr sheaffer,2021-12-09,925,0.0,0,0,0.0,19372554.0,19372554.0,0,inf
1158,96258082,M3llow Switch,2021-12-09,974,0.0,0,0,0.0,19573759.0,19573759.0,0,inf
1157,96170888,M3llow Rod,2021-12-09,927,0.0,0,0,0.0,19672422.0,19672422.0,0,inf
1156,96057102,M3llow Adam,2021-12-09,950,0.0,0,0,0.0,19694428.0,19694428.0,0,inf
1155,96645283,Pirate cass,2021-12-09,1029,0.0,0,0,0.0,19773078.0,19773078.0,0,inf
1154,80223861,Pirate Wiz,2021-12-09,1058,0.0,0,0,0.0,19775359.0,19775359.0,0,inf
1153,96241263,Sneaky Link,2021-12-09,998,0.0,0,0,0.0,19785439.0,19785439.0,0,inf
1152,67069422,亗㋡PirateSTEVE,2021-12-09,1067,0.0,0,0,0.0,19954632.0,19954632.0,0,inf
1150,95337325,BatuhanSahinn,2021-12-09,1172,0.0,0,0,0.0,20125037.0,20125037.0,0,inf
1149,89921027,Serito Кun,2021-12-09,1188,0.0,0,0,0.0,20139307.0,20139307.0,0,inf
1148,96280450,EntropicMalice,2021-12-09,1016,0.0,0,0,0.0,20164289.0,20164289.0,0,inf
1147,96299115,Welongsw,2021-12-09,1047,0.0,0,0,0.0,20269105.0,20269105.0,0,inf
1146,97075355,父SɦǟʀҜ父,2021-12-09,963,0.0,0,0,0.0,20315733.0,20315733.0,0,inf
1145,88096540,Aom2564,2021-12-09,1192,0.0,0,0,0.0,20317337.0,20317337.0,0,inf
1144,96197563,M3llows Thorgir,2021-12-09,1034,0.0,0,0,0.0,20330753.0,20330753.0,0,inf
1143,97184158,Jota San,2021-12-09,966,0.0,0,0,0.0,20340042.0,20340042.0,0,inf
1142,96218659,Scarlgard,2021-12-09,976,0.0,0,0,0.0,20345908.0,20345908.0,0,inf
1141,96553958,M3llow Silence,2021-12-09,1037,0.0,0,0,0.0,20484375.0,20484375.0,0,inf
1140,22634309,LAAMO,2021-12-09,1161,0.0,0,0,0.0,20577204.0,20577204.0,0,inf
1139,96006500,Slayer X Lukob,2021-12-09,941,0.0,0,0,0.0,20595042.0,20595042.0,0,inf
1138,96258173,M3llow hello,2021-12-09,975,0.0,0,0,0.0,20627639.0,20627639.0,0,inf
1137,98226089,D3VYN,2021-12-09,942,0.0,0,0,0.0,20683759.0,20683759.0,0,inf
1136,95936756,Baby Ravenx,2021-12-09,943,0.0,0,0,0.0,20739982.0,20739982.0,0,inf
1135,94267350,Pirate Ørń,2021-12-09,1174,0.0,0,0,0.0,20753668.0,20753668.0,0,inf
1205,96238368,M3llow Blawb,2022-01-03,707,1301712.0,796440,505272,0.0,20829793.0,17305271.0,592230,16.001844494020183
1134,95449096,M3llow 5010m0n,2021-12-09,1212,0.0,0,0,0.0,20873850.0,20873850.0,0,inf
1133,96253645,Jounin Temp,2021-12-09,1009,0.0,0,0,0.0,20889101.0,20889101.0,0,inf
1132,95676696,FîshGold,2021-12-09,1210,0.0,0,0,0.0,20893626.0,20893626.0,0,inf
1130,96776653,PirateMatuPatu,2021-12-09,1033,0.0,0,0,0.0,21053829.0,21053829.0,0,inf
1198,96293177,Bobopudge,2021-12-09,412,6293663.0,2472801,3788862,32000.0,21097457.0,17508619.0,1836429,3.3521745603474478
1129,96250012,M3llow Tuna,2021-12-09,1007,0.0,0,0,0.0,21185798.0,21185798.0,0,inf
1128,96216646,lepreal,2021-12-09,986,0.0,0,0,0.0,21296416.0,21296416.0,0,inf
1127,96143916,CaptJackShadow,2021-12-09,956,0.0,0,0,0.0,21390646.0,21390646.0,0,inf
1126,96625552,SlayerˣCaboツ,2021-12-09,1026,0.0,0,0,0.0,21457303.0,21457303.0,0,inf
1125,97144363,Small Odin,2021-12-09,954,0.0,0,0,0.0,21489355.0,21489355.0,0,inf
1124,96228988,Pirate kicking,2021-12-09,1010,0.0,0,0,0.0,21588099.0,21588099.0,0,inf
1123,96139324,Pirate McStouty,2021-12-09,958,0.0,0,0,0.0,21611455.0,21611455.0,0,inf
1122,95303176,EDlT NICKNAME,2021-12-09,1173,0.0,0,0,0.0,21639454.0,21639454.0,0,inf
1121,96486128,F2P Dealerr,2021-12-09,1038,0.0,0,0,0.0,21694942.0,21694942.0,0,inf
1120,96297228,Kobe00,2021-12-09,1043,0.0,0,0,0.0,21722968.0,21722968.0,0,inf
1119,96259916,Slayer x yMt3,2021-12-09,979,0.0,0,0,0.0,21729852.0,21729852.0,0,inf
1118,95680832,MrChunkiebean,2021-12-09,1202,0.0,0,0,0.0,21735443.0,21735443.0,0,inf
1117,90952973,RoyParker,2021-12-09,1181,0.0,0,0,0.0,21756008.0,21756008.0,0,inf
1116,96140979,M3llow Airumi,2021-12-09,957,0.0,0,0,0.0,21759323.0,21759323.0,0,inf
1115,58920386,M3llow Empress,2021-12-09,1143,0.0,0,0,0.0,21834568.0,21834568.0,0,inf
1114,96131574,Here Cums Elmo,2021-12-09,959,0.0,0,0,0.0,21837340.0,21837340.0,0,inf
1113,80093965,S P L l F F,2021-12-09,1228,0.0,0,0,0.0,21892031.0,21892031.0,0,inf
1112,95678848,Your Lil Donutz,2021-12-09,1205,0.0,0,0,0.0,21948022.0,21948022.0,0,inf
1108,77771007,DjieSamSoee,2021-12-09,1238,0.0,0,0,0.0,22101422.0,22101422.0,0,inf
1107,96970314,TilValhallaa,2021-12-09,994,0.0,0,0,0.0,22111451.0,22111451.0,0,inf
1106,97206229,SilverSurferz,2021-12-09,969,0.0,0,0,0.0,22207241.0,22207241.0,0,inf
1105,95677106,GWENDOLYN POOLE,2021-12-09,1209,0.0,0,0,0.0,22300236.0,22300236.0,0,inf
1104,97250821,Pirate SM00th,2021-12-09,933,0.0,0,0,0.0,22304533.0,22304533.0,0,inf
1103,82311998,M3llow Saksa,2021-12-09,1270,0.0,0,0,0.0,22342292.0,22342292.0,0,inf
1102,84500039,liloliks,2021-12-09,1258,0.0,0,0,0.0,22448086.0,22448086.0,0,inf
1101,16155630,Mjǫlnir,2021-12-09,1061,0.0,0,0,0.0,22524956.0,22524956.0,0,inf
1099,95833977,ᴳᴳ Ana,2021-12-09,948,0.0,0,0,0.0,22569803.0,22569803.0,0,inf
1098,95678464,xPokerPQ,2021-12-09,1206,0.0,0,0,0.0,22723589.0,22723589.0,0,inf
1097,78844814,Slayer LegionX,2021-12-09,1232,0.0,0,0,0.0,22727814.0,22727814.0,0,inf
1096,40448251,Habib123ka4,2021-12-09,1083,0.0,0,0,0.0,22737576.0,22737576.0,0,inf
1091,76023324,Pirate POPEYEラ,2021-12-09,1251,0.0,0,0,0.0,22951183.0,22951183.0,0,inf
1090,95676360,PapaZiggᴿᴬ,2021-12-09,1215,0.0,0,0,0.0,22957473.0,22957473.0,0,inf
1089,84480956,ACHRAF 07,2021-12-09,1259,0.0,0,0,0.0,22984124.0,22984124.0,0,inf
1088,96053409,Trooper Cacimo,2021-12-09,936,0.0,0,0,0.0,23101990.0,23101990.0,0,inf
1087,88028769,TikkaT3,2021-12-09,1193,0.0,0,0,0.0,23144849.0,23144849.0,0,inf
1086,97121989,Trooperkamikaze,2021-12-09,917,0.0,0,0,0.0,23146579.0,23146579.0,0,inf
1085,96230581,M3llow Dude,2021-12-09,995,0.0,0,0,0.0,23222530.0,23222530.0,0,inf
1084,72557634,Hector133,2021-12-09,1098,0.0,0,0,0.0,23332095.0,23332095.0,0,inf
1083,96274309,nr456 Chvaściu,2021-12-09,991,0.0,0,0,0.0,23332331.0,23332331.0,0,inf
1082,63622109,ÃquaBöťòĺ,2021-12-09,1147,0.0,0,0,0.0,23363090.0,23363090.0,0,inf
1081,91404607,Ｆ Ｕ Ｒ Ｙ,2021-12-09,1178,0.0,0,0,0.0,23421122.0,23421122.0,0,inf
1080,83429851,ᴮᴰᴳÇimut,2021-12-09,1266,0.0,0,0,0.0,23474694.0,23474694.0,0,inf
1079,78405318,Pirate cimut,2021-12-09,1236,0.0,0,0,0.0,23484031.0,23484031.0,0,inf
1078,95382558,Thê Jøkęr,2021-12-09,1184,0.0,0,0,0.0,23489322.0,23489322.0,0,inf
1077,75881042,pirate omponG,2021-12-09,1170,0.0,0,0,0.0,23510047.0,23510047.0,0,inf
1076,81006115,Newbie 26H,2021-12-09,1275,0.0,0,0,0.0,23564189.0,23564189.0,0,inf
1073,95413495,Pierrot CEO,2021-12-09,1197,0.0,0,0,0.0,23658549.0,23658549.0,0,inf
1072,97091638,Groot DK,2021-12-09,920,0.0,0,0,0.0,23662977.0,23662977.0,0,inf
1070,84184533,Fairy Tough,2021-12-09,1262,0.0,0,0,0.0,23729556.0,23729556.0,0,inf
1069,84665686,711 pirate,2021-12-09,1256,0.0,0,0,0.0,23736870.0,23736870.0,0,inf
1068,89422675,supersim,2021-11-22,1189,0.0,0,0,0.0,23778176.0,23778176.0,0,inf
1064,85445513,ZAFAZ,2021-12-09,1225,0.0,0,0,0.0,23842857.0,23842857.0,0,inf
1058,21361332,12belaguks,2021-12-09,1139,0.0,0,0,0.0,23938252.0,23938252.0,0,inf
1057,89230814,R  E P L A Y,2021-12-09,1190,0.0,0,0,0.0,23968971.0,23968971.0,0,inf
1055,96212053,nøødle,2021-11-22,1044,0.0,0,0,0.0,23994040.0,23994040.0,0,inf
1054,84449449,ReignTwo,2021-12-09,1261,0.0,0,0,0.0,24039588.0,24039588.0,0,inf
1053,96295361,headless ripper,2021-12-09,1042,0.0,0,0,0.0,24041529.0,24041529.0,0,inf
1049,91345871,ꜰᴜɴᴋ シ,2021-12-09,1179,0.0,0,0,0.0,24067242.0,24067242.0,0,inf
1046,58137034,Valkilittl,2021-11-22,1122,0.0,0,0,0.0,24084935.0,24084935.0,0,inf
1039,95476219,MrFreewind,2021-12-09,1222,0.0,0,0,0.0,24233924.0,24233924.0,0,inf
1038,18401805,stoned farm 6,2021-11-22,1160,0.0,0,0,0.0,24241485.0,24241485.0,0,inf
1034,56189359,LuffyLikePuffy,2021-11-22,1127,0.0,0,0,0.0,24312907.0,24312907.0,0,inf
1031,96191138,Small REnAR,2021-11-22,929,0.0,0,0,0.0,24313529.0,24313529.0,0,inf
1027,96025702,JouninﾒH1R4Mﾒ,2021-12-09,939,0.0,0,0,0.0,24352071.0,24352071.0,0,inf
1026,77529769,rjmb,2021-11-22,1241,0.0,0,0,0.0,24352725.0,24352725.0,0,inf
1071,84993931,ᴹᴰSoma,2021-12-09,821,151373.0,131053,0,20320.0,24409650.0,23713853.0,131053,161.25497942169343
1020,76856995,M3llow Izzy x,2021-12-09,1244,0.0,0,0,0.0,24430971.0,24430971.0,0,inf
1018,55133103,Tsunade     WTF,2021-11-22,1135,0.0,0,0,0.0,24440943.0,24440943.0,0,inf
1014,95667881,Ms Revane,2021-11-22,1218,0.0,0,0,0.0,24473598.0,24473598.0,0,inf
1012,75596898,Chrollo 2,2021-11-22,1169,0.0,0,0,0.0,24504197.0,24504197.0,0,inf
1003,62458819,自由ㅅ 小怪,2021-11-22,1156,0.0,0,0,0.0,24660511.0,24660511.0,0,inf
1001,49137996,ɢɢ Candyrain,2021-11-22,1165,0.0,0,0,0.0,24666703.0,24666703.0,0,inf
991,37447605,ToTA966,2021-12-02,1100,0.0,0,0,0.0,24790345.0,24790345.0,0,inf
1131,99495030,Slayer ˣPēēp,2022-01-03,557,3370942.0,1059880,2311062,0.0,24821205.0,20948478.0,662426,7.363284506230009
706,96204648,Trooper Clînt,2021-12-02,328,8488218.0,267330,8220888,0.0,24856041.0,31258747.0,133666,2.928299084684206
986,17739137,BabyChoda,2021-12-02,1155,0.0,0,0,0.0,24856828.0,24856828.0,0,inf
981,42989323,zeusS09,2021-12-02,1148,0.0,0,0,0.0,24927180.0,24927180.0,0,inf
1021,95681157,Mr Ǥuss,2021-12-29,457,5185413.0,2466255,2719158,0.0,24928532.0,24422794.0,1684158,4.807434239085682
975,78825352,nhàtaocóTV,2021-12-09,1233,0.0,0,0,0.0,24983065.0,24983065.0,0,inf
982,76345171,RengoJR,2021-12-02,1246,0.0,0,0,0.0,24987068.0,24911460.0,0,inf
973,86518330,BU Kelly,2021-12-09,1198,0.0,0,0,0.0,24995737.0,24995737.0,0,inf
971,93678362,cháN đờI,2021-12-02,1175,0.0,0,0,0.0,25017032.0,25017032.0,0,inf
1075,96119582,Spider Bøy,2021-12-29,627,2331084.0,1272732,1058352,0.0,25063136.0,23603479.0,843674,10.751708647135839
1093,95544761,A7 fold f2P,2021-12-29,791,325358.0,162679,0,740000.0,25099714.0,22783091.0,82194,77.14491114403211
1005,20946021,Pico10yearsold,2021-12-29,1137,0.0,0,0,1218774.924,25117751.0,24637451.0,0,inf
965,78546222,XHĐ1989,2021-12-02,1235,0.0,0,0,0.0,25118413.0,25060475.0,0,inf
969,89984847,z Lạc lạc z,2021-12-29,1187,0.0,0,0,4000000.0,25138880.0,25028640.0,0,inf
1109,96259184,ㅡLIGHTㅡ,2021-12-29,661,1886326.0,988864,897462,0.0,25145648.0,22096628.0,672389,13.330489003491444
960,76502028,Bar Liar Y,2021-12-29,1245,0.0,0,0,4000000.0,25146943.0,25093643.0,0,inf
977,72466066,Polcadot,2021-12-29,1099,0.0,0,0,1258967.228,25149002.0,24964202.0,0,inf
1043,91438459,GerNbET,2021-12-09,914,112.0,56,0,1880000.0,25149257.0,24128499.0,57,224546.9375
966,77220907,Pirate Wind,2022-01-01,782,409456.0,409456,0,0.0,25255737.0,25055648.0,313796,61.68119895666445
970,70882216,SiBuluBulu,2022-01-01,907,1146.0,573,0,2625766.236,25267686.0,25021176.0,1955,22048.59162303665
1061,99283317,Blueberriesi,2021-12-09,949,0.0,0,0,0.0,25270764.0,23900540.0,0,inf
1013,55127138,TrollHüntręss,2022-01-01,1136,0.0,0,0,542157.8,25273311.0,24481075.0,0,inf
1060,95492445,Pirate Scarlett,2022-01-01,830,109699.0,109699,0,0.0,25291223.0,23917527.0,65761,230.55108068441828
946,96174821,x  ACE  x,2022-01-01,921,0.0,0,0,0.0,25296777.0,25267977.0,0,inf
1067,59069826,퀸GuangLingメ,2022-01-01,880,14280.0,14280,0,0.0,25323927.0,23816056.0,7140,1773.384243697479
941,21362209,Slayer X Rakay,2022-01-01,1138,0.0,0,0,0.0,25332157.0,25332157.0,0,inf
963,95677139,LegendDingus,2021-12-14,892,7613.0,7613,0,0.0,25351349.0,25069113.0,4153,3330.007749901484
995,65004476,KFC chickenn,2021-12-09,1076,0.0,0,0,4000000.0,25352184.0,24766935.0,0,inf
860,27730064,Jon Snow KN,2022-01-01,626,2335842.0,123672,2212170,0.0,25357034.0,26529464.0,64722,10.85562893380631
998,39750664,义pirate Cange,2021-12-29,547,3534872.0,1324064,2210808,0.0,25367039.0,24699526.0,1370781,7.1762256172217835
1036,96200352,DJ 143,2022-01-01,652,1970399.0,634661,1335738,0.0,25393760.0,24296724.0,515627,12.88762326818071
1111,96233893,Babelou,2022-01-01,733,870756.0,284064,526692,60000.0,25394165.0,22008672.0,209269,29.163353453780392
